"datetime"," flow_dir","loc_name"
"2021-10-05 12:12:51",1,"o9"
"2021-10-05 12:16:27",-1,"o9"
"2021-10-05 12:20:49",1,"o10"
"2021-10-05 12:24:33",-1,"o10"
"2021-10-05 12:28:24",1,"o11"
"2021-10-05 12:31:41",-1,"o11"
"2021-10-05 12:35:25",1,"o3"
"2021-10-05 12:38:44",-1,"o3"
"2021-10-05 12:42:32",1,"o12"
"2021-10-05 12:45:47",-1,"o12"
"2021-10-05 12:49:26",1,"o13"
"2021-10-05 12:52:47",-1,"o13"
"2021-10-05 12:56:29",1,"o14"
"2021-10-05 13:01:37",-1,"o14"
"2021-10-05 13:05:18",1,"o15"
"2021-10-05 13:08:40",-1,"o15"
"2021-10-05 13:13:02",1,"o4"
"2021-10-05 13:16:56",-1,"o4"
"2021-10-05 13:21:01",1,"o17"
"2021-10-05 13:23:39",-1,"o17"
"2021-10-05 13:27:48",1,"o18"
"2021-10-05 13:31:10",-1,"o18"
"2021-10-05 13:34:49",1,"o19"
"2021-10-05 13:38:24",-1,"o19"
"2021-10-05 13:43:32",1,"o5"
"2021-10-05 13:47:14",-1,"o5"
"2021-10-05 13:51:15",1,"o6"
"2021-10-05 13:54:26",-1,"o6"
"2021-10-05 13:58:03",1,"o7"
"2021-10-05 14:01:22",-1,"o7"
"2021-10-05 14:05:18",1,"o8"
"2021-10-05 14:08:55",-1,"o8"
"2021-10-05 14:12:49",1,"o20"
"2021-10-05 14:16:02",-1,"o20"
"2021-10-05 14:19:44",1,"o22"
"2021-10-05 14:23:06",-1,"o22"
