loc_name,loc_x,loc_y, flow_dir,chid,switch_time
b,0.1978275407,0.04072561075,1,0,2021-03-21 14:43:35
b,0.1978275407,0.04072561075,-1,1,2021-03-21 14:49:31
c,0.2013212914,0.3373348094,1,2,2021-03-21 14:54:39
c,0.2013212914,0.3373348094,-1,3,2021-03-21 15:00:11
d,0.1590560932,0.6149255964,1,4,2021-03-21 15:06:06
d,0.1590560932,0.6149255964,-1,5,2021-03-21 15:11:40
e,0.1268805831,0.9738961724,1,6,2021-03-21 15:17:37
e,0.1268805831,0.9738961724,-1,7,2021-03-21 15:23:12
f,0.6263209554,0.942659849,1,8,2021-03-21 15:29:47
f,0.6263209554,0.942659849,-1,9,2021-03-21 15:35:07
g,0.6779369792,0.4552867591,1,10,2021-03-21 15:40:50
g,0.6779369792,0.4552867591,-1,11,2021-03-21 15:47:17
i,0.6921440679,0.05027828211,1,12,2021-03-21 15:52:23
i,0.6921440679,0.05027828211,-1,13,2021-03-21 15:58:15
j,0.9592554585,0.02191246138,1,14,2021-03-21 16:04:57
j,0.9592554585,0.02191246138,-1,15,2021-03-21 16:11:00
k,1.007472135,0.4189325265,1,16,2021-03-21 16:17:04
k,1.007472135,0.4189325265,-1,17,2021-03-21 16:22:34
l,1.049884069,0.9433588409,1,18,2021-03-21 16:28:41
l,1.049884069,0.9433588409,-1,19,2021-03-21 16:33:49
r,-1.037991359,0.9767815979,1,20,2021-03-21 16:40:38
r,-1.037991359,0.9767815979,-1,21,2021-03-21 16:46:20
t,-0.1968326815,0.9610203042,1,22,2021-03-21 17:03:51
t,-0.1968326815,0.9610203042,-1,23,2021-03-21 17:09:02
u,-0.4672079154,0.06044992135,1,24,2021-03-21 17:14:34
u,-0.4672079154,0.06044992135,-1,25,2021-03-21 17:20:34
v,-0.8524068903,0.04368429777,1,26,2021-03-21 17:27:21
v,-0.8524068903,0.04368429777,-1,27,2021-03-21 17:32:49
w,-0.1465931437,0.06915679714,-1,28,2021-03-23 15:26:08
w,-0.1465931437,0.06915679714,1,29,2021-03-23 15:31:07
x,-0.1259238308,0.3547540766,-1,30,2021-03-23 15:37:57
x,-0.1259238308,0.3547540766,1,31,2021-03-23 15:43:08
y,-0.5436149507,0.3899630348,-1,32,2021-03-23 15:48:59
y,-0.5436149507,0.3899630348,1,33,2021-03-23 15:54:37
z,-0.5535182669,0.7275284311,-1,34,2021-03-23 16:00:37
z,-0.5535182669,0.7275284311,1,35,2021-03-23 16:06:06
q,-0.1032957923,0.6556688779,-1,36,2021-03-23 16:12:50
q,-0.1032957923,0.6556688779,1,37,2021-03-23 16:18:26
h2,-1.137124951,0.4589488413,1,38,2021-09-14 12:46:28
h3,-0.5615203747,0.07027919067,-1,39,2021-09-14 12:51:50
h4,-0.3633327982,0.6924470266,1,40,2021-09-14 12:55:54
h5,-0.626534663,0.9880497977,-1,41,2021-09-14 12:59:50
h6,-0.9564565015,0.9603464217,1,42,2021-09-14 13:03:39
h7,-0.7461788429,0.693844025,-1,43,2021-09-14 13:14:44
h8,-0.382720309,0.1945235193,1,44,2021-09-14 13:18:21
h9,-0.9439715466,0.05947876116,-1,45,2021-09-14 13:22:24
h10,-0.3161380001,0.2101015072,1,46,2021-09-14 13:26:11
h11,-1.02569139,0.06638102357,-1,47,2021-09-14 13:29:54
h12,-1.140815302,0.5161617842,1,48,2021-09-14 13:33:40
h18,0.97667096,0.4464791768,-1,49,2021-09-14 13:37:46
h19,0.588139826,0.4474908016,1,50,2021-09-14 13:41:40
h20,0.5701080907,0.04315684962,-1,51,2021-09-14 13:45:22
h21,0.1693664778,0.06404716214,1,52,2021-09-14 13:49:07
h22,0.156951158,0.3475174004,-1,53,2021-09-14 13:52:47
h23,0.1508229727,0.6954182482,1,54,2021-09-14 13:56:37
h24,0.5226937215,0.6649009755,-1,55,2021-09-14 14:00:21
h25,0.9495073643,0.9284499853,1,56,2021-09-14 14:04:08
h26,0.4748839345,0.9190557968,-1,57,2021-09-14 14:07:47
h27,0.1170593548,0.9603966122,1,58,2021-09-14 14:11:34
h28,0.3787576588,0.8303937717,-1,59,2021-09-14 14:15:14
h30,0.3506333849,0.1357284456,1,60,2021-09-14 14:19:02
