loc_name,loc_x,loc_y, flow_dir,chid,switch_time
o9,-1.526815749,0.05999811972,1.0,0.0,2021-10-05 12:12:51
o9,-1.526815749,0.05999811972,-1.0,1.0,2021-10-05 12:16:27
o10,-1.190401478,0.149931541,1.0,2.0,2021-10-05 12:20:49
o10,-1.190401478,0.149931541,-1.0,3.0,2021-10-05 12:24:33
o11,-1.019285074,0.9585672453,1.0,4.0,2021-10-05 12:28:24
o11,-1.019285074,0.9585672453,-1.0,5.0,2021-10-05 12:31:41
o3,0.7468855889,0.0807316616,1.0,6.0,2021-10-05 12:35:25
o3,0.7468855889,0.0807316616,-1.0,7.0,2021-10-05 12:38:44
o12,-0.08202677674,0.1503161183,1.0,8.0,2021-10-05 12:42:32
o12,-0.08202677674,0.1503161183,-1.0,9.0,2021-10-05 12:45:47
o13,-1.065423144,0.9584395712,1.0,10.0,2021-10-05 12:49:26
o13,-1.065423144,0.9584395712,-1.0,11.0,2021-10-05 12:52:47
o14,-0.08265542624,0.6941577796,1.0,12.0,2021-10-05 12:56:29
o14,-0.08265542624,0.6941577796,-1.0,13.0,2021-10-05 13:01:37
o15,-0.0686083553,0.4135509707,1.0,14.0,2021-10-05 13:05:18
o15,-0.0686083553,0.4135509707,-1.0,15.0,2021-10-05 13:08:40
o4,0.881031549,0.9329469911,1.0,16.0,2021-10-05 13:13:02
o4,0.881031549,0.9329469911,-1.0,17.0,2021-10-05 13:16:56
o17,-0.89283641,0.4246081216,1.0,18.0,2021-10-05 13:21:01
o17,-0.89283641,0.4246081216,-1.0,19.0,2021-10-05 13:23:39
o18,-0.1304873714,0.1576227635,1.0,20.0,2021-10-05 13:27:48
o18,-0.1304873714,0.1576227635,-1.0,21.0,2021-10-05 13:31:10
o19,-0.3413988309,0.04389063162,1.0,22.0,2021-10-05 13:34:49
o19,-0.3413988309,0.04389063162,-1.0,23.0,2021-10-05 13:38:24
o5,0.1415413338,0.695849562,1.0,24.0,2021-10-05 13:43:32
o5,0.1415413338,0.695849562,-1.0,25.0,2021-10-05 13:47:14
o6,0.220729828,0.9406998512,1.0,26.0,2021-10-05 13:51:15
o6,0.220729828,0.9406998512,-1.0,27.0,2021-10-05 13:54:26
o7,0.5424274229,0.7083532523,1.0,28.0,2021-10-05 13:58:03
o7,0.5424274229,0.7083532523,-1.0,29.0,2021-10-05 14:01:22
o8,0.5447556572,0.1425665911,1.0,30.0,2021-10-05 14:05:18
o8,0.5447556572,0.1425665911,-1.0,31.0,2021-10-05 14:08:55
o20,-0.483463675,0.1216909595,1.0,32.0,2021-10-05 14:12:49
o20,-0.483463675,0.1216909595,-1.0,33.0,2021-10-05 14:16:02
o22,-0.07655535426,0.3126091789,1.0,34.0,2021-10-05 14:19:44
o22,-0.07655535426,0.3126091789,-1.0,35.0,2021-10-05 14:23:06
