"datetime"," flow_dir","loc_name"
"21-03-2021 14:43:35",1,"b"
"21-03-2021 14:49:31",-1,"b"
"21-03-2021 14:54:39",1,"c"
"21-03-2021 15:00:11",-1,"c"
"21-03-2021 15:06:06",1,"d"
"21-03-2021 15:11:40",-1,"d"
"21-03-2021 15:17:37",1,"e"
"21-03-2021 15:23:12",-1,"e"
"21-03-2021 15:29:47",1,"f"
"21-03-2021 15:35:07",-1,"f"
"21-03-2021 15:40:50",1,"g"
"21-03-2021 15:47:17",-1,"g"
"21-03-2021 15:52:23",1,"i"
"21-03-2021 15:58:15",-1,"i"
"21-03-2021 16:04:57",1,"j"
"21-03-2021 16:11:00",-1,"j"
"21-03-2021 16:17:04",1,"k"
"21-03-2021 16:22:34",-1,"k"
"21-03-2021 16:28:41",1,"l"
"21-03-2021 16:33:49",-1,"l"
"21-03-2021 16:40:38",1,"r"
"21-03-2021 16:46:20",-1,"r"
"21-03-2021 17:03:51",1,"t"
"21-03-2021 17:09:02",-1,"t"
"21-03-2021 17:14:34",1,"u"
"21-03-2021 17:20:34",-1,"u"
"21-03-2021 17:27:21",1,"v"
"21-03-2021 17:32:49",-1,"v"
"2021-03-23 15:26:08",-1,"w"
"2021-03-23 15:31:07",1,"w"
"2021-03-23 15:37:57",-1,"x"
"2021-03-23 15:43:08",1,"x"
"2021-03-23 15:48:59",-1,"y"
"2021-03-23 15:54:37",1,"y"
"2021-03-23 16:00:37",-1,"z"
"2021-03-23 16:06:06",1,"z"
"2021-03-23 16:12:50",-1,"q"
"2021-03-23 16:18:26",1,"q"
"14-09-2021 12:46:28",1,"h2"
"14-09-2021 12:51:50",-1,"h3"
"14-09-2021 12:55:54",1,"h4"
"14-09-2021 12:59:50",-1,"h5"
"14-09-2021 13:03:39",1,"h6"
"14-09-2021 13:14:44",-1,"h7"
"14-09-2021 13:18:21",1,"h8"
"14-09-2021 13:22:24",-1,"h9"
"14-09-2021 13:26:11",1,"h10"
"14-09-2021 13:29:54",-1,"h11"
"14-09-2021 13:33:40",1,"h12"
"14-09-2021 13:37:46",-1,"h18"
"14-09-2021 13:41:40",1,"h19"
"14-09-2021 13:45:22",-1,"h20"
"14-09-2021 13:49:07",1,"h21"
"14-09-2021 13:52:47",-1,"h22"
"14-09-2021 13:56:37",1,"h23"
"14-09-2021 14:00:21",-1,"h24"
"14-09-2021 14:04:08",1,"h25"
"14-09-2021 14:07:47",-1,"h26"
"14-09-2021 14:11:34",1,"h27"
"14-09-2021 14:15:14",-1,"h28"
"14-09-2021 14:19:02",1,"h30"
