loc_name,datetime,loc_x,loc_y
o9,05/10/2021 12:07:10,-1.526815749,0.05999811972
o10,05/10/2021 12:21:16,-1.190401478,0.149931541
o11,05/10/2021 12:29:00,-1.019285074,0.9585672453
o3,05/10/2021 12:36:21,0.7468855889,0.0807316616
o12,05/10/2021 12:43:12,-0.08202677674,0.1503161183
o13,05/10/2021 12:50:12,-1.065423144,0.9584395712
o14,05/10/2021 12:57:04,-0.08265542624,0.6941577796
o15,05/10/2021 13:05:59,-0.0686083553,0.4135509707
o4,05/10/2021 13:14:05,0.881031549,0.9329469911
o17,05/10/2021 13:21:48,-0.89283641,0.4246081216
o18,05/10/2021 13:28:28,-0.1304873714,0.1576227635
o19,05/10/2021 13:35:51,-0.3413988309,0.04389063162
o5,05/10/2021 13:44:53,0.1415413338,0.695849562
o6,05/10/2021 13:52:11,0.220729828,0.9406998512
o7,05/10/2021 13:58:52,0.5424274229,0.7083532523
o8,05/10/2021 14:06:00,0.5447556572,0.1425665911
o20,05/10/2021 14:13:28,-0.483463675,0.1216909595
o22,05/10/2021 14:19:40,-0.07655535426,0.3126091789
