fishname,fs,fishdate,time_flow,time_react,tdiff,info,info_other,direction,stable10prev,change10,stable10after
indoorfarmed1,old,1Aug,13:29:10,13:34:05,00:04:55,dir_change,,1,2,-3,-4
indoorfarmed2,old,1Aug,14:42:48,14:48:40,00:05:52,dir_change,,1,11,-15,-13
indoorfarmed3,old,1Aug,15:14:10,-,,no_reaction,,0,,,
indoorfarmed4,old,1Aug,15:46:30,15:46:47,00:00:17,swim_off,,1,11,-4,-11
indoorfarmed5,old,1Aug,16:19:05,16:19:38,00:00:33,dir_change,,0,-10,0,12
indoorfarmed6,old,1Aug,16:55:05,16:56:34,00:01:29,swim_off,,1,10,-7,-14
indoorfarmed7,old,1Aug,17:25:26,17:26:32,00:01:06,swim_off,,0,-9,5,10
indoorfarmed8,old,1Aug,17:54:12,-,,unstable,,1,,,
indoorfarmed9,old,5Aug,15:10:03,15:10:53,00:00:50,dir_change,,1,2,-5,-4
indoorfarmed10,old,5Aug,15:37:05,-,,error,,0,,,
indoorfarmed11,old,5Aug,16:00:19,-,,error,,0,,,
indoorfarmed12,old,5Aug,16:40:41,-,,unstable,,0,,,
indoorfarmed13,old,5Aug,16:41:06,16:43:33,00:02:27,dir_change,,1,4,-5,-6
indoorfarmed14,old,5Aug,17:18:58,-,,error,,0,,,
indoorfarmed15,old,5Aug,17:52:24,-,,error,,1,,,
indoorfarmed16,old,5Aug,18:23:09,-,,error,,0,,,
indoorfarmed17,old,5Aug,18:56:21,-,,error,,1,,,
indoorfarmed18,old,5Aug,19:14:42,-,,error,,0,,,
indoorfarmed19,old,6Aug,09:45:58,-,,unstable,,1,,,
indoorfarmed20,old,6Aug,10:17:33,10:18:39,00:01:06,dir_change,,0,-15,6,10
indoorfarmed21,old,6Aug,10:48:25,10:50:48,00:02:23,dir_change,,1,6,-8,-8
indoorfarmed22,old,6Aug,11:18:51,11:20:06,00:01:15,swim_off,,0,-15,6,8
indoorfarmed23,old,6Aug,11:55:59,11:59:05,00:03:06,dir_change,,1,6,-8,-8
indoorfarmed24,old,6Aug,12:35:59,12:40:01,00:04:02,swim_off,,0,,,
indoorfarmed25,old,6Aug,13:12:37,13:14:20,00:01:43,dir_change,,1,10,-13,-13
indoorfarmed26,old,6Aug,13:49:25,-,,unstable,,0,,,
indoorfarmed27,old,6Aug,14:57:18,14:58:59,00:01:41,swim_off,,1,6,-8,-8
indoorfarmed28,old,6Aug,15:32:37,-,,unstable,,0,,,
indoorfarmed29,old,6Aug,16:08:50,-,,no_reaction,,1,,,
indoorfarmed30,old,6Aug,16:44:20,16:44:40,00:00:20,unstable,,0,,,
indoorfarmed31,old,6Aug,17:21:28,17:23:39,00:02:11,swim_off,,1,6,-8,-7
indoorfarmed32,old,6Aug,17:59:03,18:03:24,00:04:21,dir_change,,0,-8,10,9
indoorfarmed33,old,6Aug,18:42:50,18:43:52,00:01:02,dir_change,,1,14,-6,-9
indoorfarmed34,old,6Aug,20:21:52,20:25:45,00:03:53,dir_change,,0,-8,8,9
indoorfarmed35,old,6Aug,20:55:31,20:56:36,00:01:05,dir_change,,1,9,-8,-14
indoorfarmed36,old,6Aug,21:24:43,21:27:28,00:02:45,dir_change,,0,-16,10,9
indoorfarmed37,old,6Aug,21:52:07,21:53:43,00:01:36,dir_change,,1,7,-7,-7
indoorfarmed38,old,12Sep,15:28:03,15:29:44,00:01:41,dir_change,,0,-9,5,6
indoorfarmed39,old,12Sep,15:58:28,-,,unstable,,1,,,
indoorfarmed40,old,12Sep,16:25:41,-,,no_reaction,,0,,,
indoorfarmed41,old,12Sep,16:56:10,16:58:09,00:01:59,swim_off,,1,7,8,-8
indoorfarmed42,old,12Sep,17:30:29,17:32:28,00:01:59,dir_change,,0,-15,10,11
indoorfarmed43,old,12Sep,18:00:18,18:01:24,00:01:06,dir_change,,1,7,5,-20
