cross_time,loc_name,loc_x,loc_y,flow_dir,chid,switch_time,fs
2021-10-05 12:12:58,o9,1.263184251,0.05999811972,1.0,0.0,2021-10-05 12:12:51,high
2021-10-05 12:16:45,o9,1.263184251,0.05999811972,-1.0,1.0,2021-10-05 12:16:27,high
2021-10-05 12:21:05,o10,1.599598522,0.149931541,1.0,2.0,2021-10-05 12:20:49,high
2021-10-05 12:24:50,o10,1.599598522,0.149931541,-1.0,3.0,2021-10-05 12:24:33,high
2021-10-05 12:28:31,o11,1.7707149260000001,0.9585672453,1.0,4.0,2021-10-05 12:28:24,high
2021-10-05 12:31:55,o11,1.7707149260000001,0.9585672453,-1.0,5.0,2021-10-05 12:31:41,high
2021-10-05 12:35:36,o3,0.7468855889,0.0807316616,1.0,6.0,2021-10-05 12:35:25,high
2021-10-05 12:39:00,o3,0.7468855889,0.0807316616,-1.0,7.0,2021-10-05 12:38:44,high
2021-10-05 12:42:42,o12,2.7079732232600002,0.1503161183,1.0,8.0,2021-10-05 12:42:32,high
2021-10-05 12:45:56,o12,2.7079732232600002,0.1503161183,-1.0,9.0,2021-10-05 12:45:47,high
2021-10-05 12:49:35,o13,1.724576856,0.9584395712,1.0,10.0,2021-10-05 12:49:26,high
2021-10-05 12:52:54,o13,1.724576856,0.9584395712,-1.0,11.0,2021-10-05 12:52:47,high
2021-10-05 12:56:42,o14,2.70734457376,0.6941577796,1.0,12.0,2021-10-05 12:56:29,high
2021-10-05 13:01:52,o14,2.70734457376,0.6941577796,-1.0,13.0,2021-10-05 13:01:37,high
2021-10-05 13:05:29,o15,2.7213916447,0.4135509707,1.0,14.0,2021-10-05 13:05:18,high
2021-10-05 13:08:56,o15,2.7213916447,0.4135509707,-1.0,15.0,2021-10-05 13:08:40,high
2021-10-05 13:13:18,o4,0.881031549,0.9329469911,1.0,16.0,2021-10-05 13:13:02,high
2021-10-05 13:17:05,o4,0.881031549,0.9329469911,-1.0,17.0,2021-10-05 13:16:56,high
2021-10-05 13:21:12,o17,1.89716359,0.4246081216,1.0,18.0,2021-10-05 13:21:01,high
2021-10-05 13:23:57,o17,1.89716359,0.4246081216,-1.0,19.0,2021-10-05 13:23:39,high
2021-10-05 13:27:59,o18,2.6595126286,0.1576227635,1.0,20.0,2021-10-05 13:27:48,high
2021-10-05 13:31:17,o18,2.6595126286,0.1576227635,-1.0,21.0,2021-10-05 13:31:10,high
2021-10-05 13:34:57,o19,2.4486011691,0.04389063162,1.0,22.0,2021-10-05 13:34:49,high
2021-10-05 13:38:41,o19,2.4486011691,0.04389063162,-1.0,23.0,2021-10-05 13:38:24,high
2021-10-05 13:43:45,o5,0.1415413338,0.695849562,1.0,24.0,2021-10-05 13:43:32,high
2021-10-05 13:47:23,o5,0.1415413338,0.695849562,-1.0,25.0,2021-10-05 13:47:14,high
2021-10-05 13:51:30,o6,0.220729828,0.9406998512,1.0,26.0,2021-10-05 13:51:15,high
2021-10-05 13:54:41,o6,0.220729828,0.9406998512,-1.0,27.0,2021-10-05 13:54:26,high
2021-10-05 13:58:14,o7,0.5424274229,0.7083532523,1.0,28.0,2021-10-05 13:58:03,high
2021-10-05 14:01:34,o7,0.5424274229,0.7083532523,-1.0,29.0,2021-10-05 14:01:22,high
2021-10-05 14:05:26,o8,0.5447556572,0.1425665911,1.0,30.0,2021-10-05 14:05:18,high
2021-10-05 14:09:17,o8,0.5447556572,0.1425665911,-1.0,31.0,2021-10-05 14:08:55,high
2021-10-05 14:13:03,o20,2.306536325,0.1216909595,1.0,32.0,2021-10-05 14:12:49,high
2021-10-05 14:16:27,o20,2.306536325,0.1216909595,-1.0,33.0,2021-10-05 14:16:02,high
2021-10-05 14:19:57,o22,2.71344464574,0.3126091789,1.0,34.0,2021-10-05 14:19:44,high
2021-10-05 14:23:16,o22,2.71344464574,0.3126091789,-1.0,35.0,2021-10-05 14:23:06,high
